Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
4643.0,2.64283e-29,-7.9946799999999999e-26,-7.9930800000000001e-26,-7.9946500000000005e-26,-6.3329299999999996e-30,-3.46567e-30,9.8617399999999994e-30
4644.0,2.4842e-29,-7.9949199999999996e-26,-7.9932599999999999e-26,-7.9948499999999999e-26,-6.2187699999999999e-30,-2.98496e-30,8.3916899999999997e-30
4645.0,2.3028700000000001e-29,-7.9949500000000002e-26,-7.9932400000000003e-26,-7.9947999999999998e-26,-6.0819500000000002e-30,-2.50199e-30,6.6347e-30
4646.0,2.19403e-29,-7.9952300000000003e-26,-7.9934299999999999e-26,-7.9950299999999997e-26,-5.9563799999999998e-30,-2.0200600000000001e-30,4.8535900000000001e-30
4647.0,2.03363e-29,-7.9951700000000003e-26,-7.9934000000000005e-26,-7.9949299999999994e-26,-5.8370799999999998e-30,-1.6386399999999999e-30,2.9124600000000001e-30
4648.0,2.0875799999999999e-29,-7.9955100000000003e-26,-7.9935499999999998e-26,-7.9951800000000001e-26,-5.7416399999999997e-30,-1.13227e-30,1.1172500000000001e-30
4649.0,3.0927500000000001e-29,-7.9952599999999997e-26,-7.9933000000000002e-26,-7.9952599999999997e-26,-6.5689799999999998e-30,-3.9656300000000002e-30,1.15227e-29
4650.0,3.0001600000000001e-29,-7.9955000000000006e-26,-7.9934600000000004e-26,-7.9954600000000002e-26,-6.4718000000000006e-30,-3.5857500000000002e-30,1.04377e-29
4651.0,2.8562800000000001e-29,-7.99564e-26,-7.9934899999999998e-26,-7.9955000000000006e-26,-6.3504700000000007e-30,-3.1408599999999999e-30,8.8045599999999999e-30
4652.0,2.77633e-29,-7.9959600000000004e-26,-7.9936799999999994e-26,-7.9957599999999999e-26,-6.2652499999999999e-30,-2.6860200000000001e-30,7.1692299999999995e-30
4653.0,2.6464499999999998e-29,-7.9960300000000002e-26,-7.9936900000000004e-26,-7.9957500000000001e-26,-6.1573599999999999e-30,-2.2878099999999999e-30,5.2712999999999998e-30
4654.0,2.6225199999999998e-29,-7.9963200000000001e-26,-7.9938600000000004e-26,-7.99598e-26,-6.0782800000000001e-30,-1.8408600000000001e-30,3.3648699999999998e-30
4655.0,2.4844999999999999e-29,-7.9962600000000001e-26,-7.9938600000000004e-26,-7.9959100000000003e-26,-5.8812299999999997e-30,-1.37695e-30,1.1134e-30
4656.0,2.37009e-29,-7.9904899999999996e-26,-7.9917899999999998e-26,-7.9905499999999996e-26,-8.6846600000000003e-30,-3.89454e-30,6.5186900000000003e-30
4657.0,2.3624e-29,-7.9900700000000001e-26,-7.9916199999999997e-26,-7.9902300000000003e-26,-8.9128800000000002e-30,-3.2163100000000001e-30,4.9106999999999999e-30
4658.0,2.3443599999999999e-29,-7.9902200000000005e-26,-7.99195e-26,-7.9902499999999999e-26,-8.3212099999999997e-30,-2.32672e-30,3.2166400000000001e-30
4659.0,2.48479e-29,-7.9898099999999996e-26,-7.9917399999999996e-26,-7.9899000000000001e-26,-8.8408100000000006e-30,-2.04139e-30,2.2163700000000001e-30
4660.0,2.5494099999999997e-29,-7.9900299999999997e-26,-7.9921799999999999e-26,-7.9900600000000003e-26,-7.9432800000000007e-30,-6.7923400000000003e-31,3.7385700000000001e-31
4661.0,2.6537800000000001e-29,-7.9897300000000001e-26,-7.9918499999999997e-26,-7.9896000000000004e-26,-8.5982999999999994e-30,-8.2396500000000001e-31,3.6395100000000001e-31
4662.0,2.8772799999999998e-29,-7.9898800000000005e-26,-7.9924199999999996e-26,-7.9899199999999997e-26,-7.7364999999999996e-30,-2.6925800000000002e-31,-1.8491299999999999e-30
4663.0,2.2506500000000001e-29,-7.9912299999999996e-26,-7.9918999999999998e-26,-7.9913299999999999e-26,-8.6776099999999996e-30,-3.863e-30,8.0843299999999995e-30
4664.0,2.0750600000000001e-29,-7.9912799999999997e-26,-7.9921000000000004e-26,-7.9913299999999999e-26,-8.4394900000000005e-30,-3.1454799999999999e-30,6.4179999999999996e-30
4665.0,1.9662399999999999e-29,-7.9910099999999994e-26,-7.9919699999999996e-26,-7.9910599999999996e-26,-8.2658699999999996e-30,-2.50608e-30,5.0002500000000001e-30
4666.0,1.8846999999999999e-29,-7.9911900000000004e-26,-7.9922599999999994e-26,-7.99121e-26,-8.1250199999999999e-30,-1.7599699999999999e-30,3.4387800000000002e-30
4667.0,1.8705e-29,-7.9909299999999999e-26,-7.9920899999999994e-26,-7.9909000000000005e-26,-8.0292099999999999e-30,-1.20791e-30,2.14869e-30
4668.0,1.8184300000000001e-29,-7.9911900000000004e-26,-7.99246e-26,-7.9911300000000005e-26,-7.3257999999999994e-30,-5.3354399999999998e-31,7.0825999999999999e-31
