Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
96.0,1975.5999999999999,1184.54,219.37700000000001,1538.8699999999999,-729.94600000000003,535.87199999999996,121.08499999999999
97.0,1970.23,1260.99,220.97300000000001,1488.74,-723.39700000000005,539.44000000000005,151.16499999999999
98.0,1958.96,1313.6900000000001,202.685,1417.8800000000001,-710.72900000000004,536.84199999999998,179.40899999999999
99.0,1941.3900000000001,1374.1700000000001,197.77600000000001,1358.3,-692.62300000000005,528.74400000000003,204.63900000000001
100.0,1918.6700000000001,1412.01,174.899,1278.3199999999999,-669.99400000000003,515.48199999999997,226.95599999999999
101.0,1893.6600000000001,1452.51,156.982,1202.8699999999999,-644.47500000000002,497.10700000000003,245.80600000000001
102.0,1867.25,1472.3499999999999,123.48099999999999,1110.28,-618.56200000000001,473.84800000000001,260.14499999999998
103.0,1834.54,1513.54,119.666,1042.25,-589.86000000000001,444.483,271.38299999999998
104.0,1807.1700000000001,1533.28,90.0471,949.70899999999995,-560.05200000000002,410.78800000000001,281.303
105.0,1202.3299999999999,-176.22499999999999,-219.06,813.49699999999996,46.119399999999999,-370.39299999999997,35.837499999999999
106.0,1218.0699999999999,-190.25700000000001,-202.578,890.86800000000005,32.046100000000003,-315.11599999999999,11.714600000000001
107.0,1236.6600000000001,-206.14400000000001,-195.006,954.39200000000005,14.0764,-254.44999999999999,-12.315
108.0,1256.5,-203.75200000000001,-176.25299999999999,1021.76,-7.35222,-187.97,-35.064100000000003
109.0,1278.0799999999999,-200.732,-165.37100000000001,1073.4300000000001,-32.171500000000002,-117.084,-56.431100000000001
110.0,1300.8599999999999,-178.90299999999999,-144.69999999999999,1125.79,-60.019599999999997,-42.737000000000002,-75.659300000000002
111.0,1324.6300000000001,-154.91499999999999,-131.619,1160.8699999999999,-90.483000000000004,33.6126,-92.237899999999996
112.0,1348.48,-112.36,-109.83499999999999,1193.8900000000001,-122.905,110.47799999999999,-105.63
113.0,1371.5899999999999,-67.572400000000002,-95.771600000000007,1207.99,-156.53,186.19800000000001,-115.361
114.0,1392.46,-5.5552200000000003,-73.851699999999994,1217.77,-190.46100000000001,259.024,-121.251
115.0,1410.3099999999999,56.201900000000002,-61.021099999999997,1206.45,-223.809,327.42099999999999,-123.093
116.0,1423.51,133.047,-40.630800000000001,1189.8800000000001,-255.68899999999999,389.60700000000003,-121.452
117.0,1433.1800000000001,206.23500000000001,-30.880099999999999,1151.8199999999999,-285.45400000000001,445.13400000000001,-116.29300000000001
118.0,1438.9400000000001,292.11900000000003,-14.1937,1111.8299999999999,-312.66500000000002,491.46199999999999,-109.265
119.0,1442.1900000000001,373.29199999999997,-7.0043100000000003,1053.3099999999999,-336.91800000000001,530.48199999999997,-99.136399999999995
120.0,1449.4000000000001,451.93700000000001,-3.0300400000000001,989.10799999999995,-359.084,563.10299999999995,-87.0715
121.0,1453.6900000000001,532.649,1.6188899999999999,925.28099999999995,-377.44,584.37,-74.622100000000003
122.0,1454.72,619.61099999999999,8.3775300000000001,863.14400000000001,-390.93400000000003,595.96100000000001,-58.968600000000002
123.0,1454.3499999999999,693.22000000000003,3.9084500000000002,788.90700000000004,-400.53199999999998,599.49699999999996,-42.402200000000001
124.0,1448.6300000000001,765.02599999999995,2.8484799999999999,715.63599999999997,-404.94099999999997,594.08199999999999,-26.400700000000001
125.0,1437.1199999999999,822.18100000000004,-7.0726100000000001,631.87300000000005,-404.24000000000001,579.84400000000005,-11.1523
126.0,1420.95,875.798,-14.1616,549.78499999999997,-399.63400000000001,557.30799999999999,2.5849899999999999
127.0,1401.4400000000001,918.76700000000005,-25.305700000000002,462.91800000000001,-391.69799999999998,527.38499999999999,14.398300000000001
128.0,1381.49,957.80799999999999,-34.587600000000002,378.375,-382.21800000000002,490.89400000000001,24.2255
129.0,1359.01,989.029,-43.234900000000003,295.03899999999999,-371.32999999999998,447.0,31.662199999999999
130.0,1339.5699999999999,1012.64,-57.460099999999997,210.864,-359.142,397.10399999999998,38.441499999999998
131.0,1064.49,-287.48399999999998,-289.899,541.46199999999999,210.60400000000001,-310.47399999999999,85.108900000000006
132.0,1074.9400000000001,-326.678,-296.33199999999999,586.40700000000004,207.23400000000001,-264.49099999999999,57.302999999999997
133.0,1086.1800000000001,-336.18299999999999,-277.952,651.55100000000004,200.136,-212.583,29.174199999999999
134.0,1098.0999999999999,-361.40600000000001,-280.91399999999999,689.41099999999994,189.36799999999999,-155.05799999999999,0.92899799999999999
135.0,1110.72,-355.471,-259.44099999999997,744.65099999999995,175.03700000000001,-92.668700000000001,-26.8886
136.0,1124.1600000000001,-363.17700000000002,-259.09199999999998,770.88099999999997,157.18700000000001,-26.3185,-53.729399999999998
137.0,1138.0699999999999,-338.72699999999998,-234.911,811.91399999999999,136.21000000000001,42.8598,-79.002799999999993
138.0,1152.1099999999999,-326.75900000000001,-231.90100000000001,821.92700000000002,112.48099999999999,113.48099999999999,-102.077
139.0,1165.1099999999999,-283.05200000000002,-206.10499999999999,843.45600000000002,86.794300000000007,184.029,-122.515
140.0,1176.2,-252.399,-202.047,831.33399999999995,59.7958,252.77099999999999,-139.749
141.0,1183.26,-191.286,-175.68000000000001,827.59100000000001,32.571199999999997,317.95499999999998,-154.029
142.0,1186.28,-145.71700000000001,-172.214,787.79300000000001,5.6012199999999996,378.05599999999998,-164.822
143.0,1183.78,-72.420100000000005,-147.339,754.64999999999998,-20.5639,431.12599999999998,-173.999
144.0,1180.3299999999999,-16.3123,-145.12,687.90099999999995,-45.622999999999998,478.358,-180.03899999999999
145.0,1178.4100000000001,59.3583,-128.185,630.57100000000003,-71.338200000000001,517.30399999999997,-184.38300000000001
146.0,1180.9200000000001,96.735699999999994,-158.041,528.04999999999995,-98.583200000000005,548.26599999999996,-185.10400000000001
147.0,1186.1500000000001,178.249,-143.07599999999999,469.95699999999999,-126.372,569.62699999999995,-185.77699999999999
148.0,1186.1400000000001,280.83499999999998,-111.01900000000001,425.81299999999999,-147.91,580.20500000000004,-182.56999999999999
149.0,1188.9200000000001,381.83800000000002,-87.064800000000005,376.75900000000001,-166.06800000000001,583.54700000000003,-174.83000000000001
150.0,1187.8800000000001,438.55399999999997,-96.915199999999999,290.745,-182.68600000000001,576.38099999999997,-168.191
151.0,1179.0699999999999,512.803,-83.292699999999996,225.571,-192.82599999999999,558.32000000000005,-160.08099999999999
152.0,1167.77,556.03499999999997,-93.953400000000002,135.75700000000001,-200.666,531.39999999999998,-152.51900000000001
153.0,1153.1900000000001,611.596,-84.889300000000006,66.481300000000005,-205.358,495.76100000000002,-145.39699999999999
154.0,1138.8299999999999,638.13999999999999,-98.753399999999999,-22.429600000000001,-208.55799999999999,453.101,-138.97399999999999
155.0,1123.9100000000001,678.21600000000001,-90.460999999999999,-85.787499999999994,-210.18199999999999,404.06,-133.61799999999999
156.0,1111.53,692.41600000000005,-103.075,-164.679,-211.071,349.709,-128.26300000000001
157.0,955.81899999999996,-311.06700000000001,-328.99000000000001,360.62,276.49400000000003,-251.042,102.717
158.0,967.27200000000005,-332.68400000000003,-320.11900000000003,411.57299999999998,280.77800000000002,-213.935,75.444100000000006
159.0,978.52800000000002,-367.262,-327.22899999999998,442.351,281.83199999999999,-171.066,47.5197
160.0,990.11300000000006,-378.14600000000002,-314.87400000000002,488.00299999999999,279.49799999999999,-123.193,18.465699999999998
161.0,1001.71,-400.464,-318.96199999999999,511.11200000000002,273.75400000000002,-70.545900000000003,-10.943199999999999
162.0,1013.79,-397.322,-303.59100000000001,547.274,264.447,-13.9352,-40.336199999999998
163.0,1025.8800000000001,-403.44,-304.142,559.51300000000003,251.87799999999999,45.749499999999998,-69.062899999999999
164.0,1038.0899999999999,-384.017,-286.50900000000001,581.51999999999998,236.25,107.425,-96.513499999999993
165.0,1048.97,-371.79300000000001,-283.54500000000002,578.125,218.38300000000001,169.50899999999999,-122.161
166.0,1058.24,-336.44099999999997,-265.18900000000002,579.13599999999997,198.78399999999999,230.78700000000001,-145.399
167.0,1062.51,-307.29399999999998,-259.61200000000002,552.27300000000002,178.79300000000001,288.61000000000001,-166.334
168.0,1063.24,-261.19499999999999,-244.46799999999999,521.77700000000004,158.523,342.779,-184.73099999999999
169.0,1056.5,-217.18100000000001,-234.27199999999999,467.72899999999998,139.119,388.803,-202.91999999999999
170.0,1049.78,-180.81200000000001,-241.57900000000001,388.19400000000002,118.05800000000001,432.30599999999998,-214.11000000000001
