Label,U_Magnitude,U_U1,U_U2,U_U3
2455.0,0.0016484,-0.00065283599999999995,0.0015131700000000001,-3.6610099999999997e-05
2456.0,0.00119571,-0.00050535900000000004,0.00108296,-3.9053400000000001e-05
2457.0,0.00109337,-0.00048230499999999998,0.00098124699999999998,-1.06185e-06
2458.0,0.0010072799999999999,-0.000451027,0.00089903100000000001,5.4092199999999997e-05
2459.0,0.00094427400000000005,-0.00039646899999999999,0.00085057700000000004,0.000104811
2460.0,0.00092384499999999996,-0.00032740999999999998,0.00084970800000000002,0.00015584999999999999
2461.0,0.00091712300000000005,-0.00023904500000000001,0.00085822299999999997,0.000217777
2462.0,0.0010885700000000001,-0.00076949600000000005,0.000739195,-0.000215534
2463.0,0.00099028099999999997,-0.00056607300000000005,0.00078354800000000001,-0.00021510100000000001
2464.0,0.00093244200000000001,-0.00029595499999999998,0.00086028299999999999,-0.00020437999999999999
2465.0,0.000973619,-5.6710200000000001e-06,0.00095199300000000004,-0.000203988
2466.0,0.00112962,0.00035468700000000001,0.0010549299999999999,-0.000193313
2467.0,0.0013809,0.00069882799999999997,0.0011746700000000001,-0.000196594
2468.0,0.00101808,-0.000702879,0.00071473399999999996,-0.00017777
2469.0,0.00094347500000000004,-0.00050749300000000003,0.00077362600000000002,-0.00018465800000000001
2470.0,0.00092370400000000002,-0.00025407099999999997,0.00086479199999999997,-0.000202017
2471.0,0.0010022799999999999,2.8008500000000001e-05,0.00097878200000000009,-0.000213916
2472.0,0.0011903700000000001,0.00035142600000000001,0.0011111700000000001,-0.00024243299999999999
2473.0,0.00146857,0.00070876700000000001,0.0012591600000000001,-0.00026245100000000003
2474.0,0.00099497499999999994,-0.00063960000000000004,0.00074844799999999997,-0.000143917
2475.0,0.00094089900000000003,-0.00043804599999999999,0.00081470200000000005,-0.00017224100000000001
2476.0,0.00097061399999999996,-0.00021974399999999999,0.00092409199999999995,-0.000199643
2477.0,0.00109406,6.47583e-05,0.0010643,-0.00024503099999999999
2478.0,0.0012979000000000001,0.00035236799999999998,0.00121568,-0.00028723699999999997
2479.0,0.0015994,0.00069268200000000002,0.0013974199999999999,-0.00035424099999999999
2480.0,0.0010075399999999999,-0.00055869999999999997,0.00082903000000000002,-0.000125263
2481.0,0.00099890799999999996,-0.00038916100000000001,0.00090570600000000005,-0.00016145299999999999
2482.0,0.00106813,-0.00016102400000000001,0.0010335500000000001,-0.00021620400000000001
2483.0,0.0012244199999999999,7.3693400000000002e-05,0.00119136,-0.00027283599999999999
2484.0,0.0014669399999999999,0.00036791200000000002,0.0013752300000000001,-0.00035398200000000003
2485.0,0.00175812,0.00065658299999999997,0.0015731600000000001,-0.00043018
2486.0,0.0010873199999999999,-0.00050088200000000002,0.00095869100000000001,-0.000110865
2487.0,0.0011095,-0.00032921200000000001,0.00104652,-0.00016555500000000001
2488.0,0.00121893,-0.000138701,0.0011891499999999999,-0.000229068
2489.0,0.00140836,0.000103427,0.00136848,-0.00031629500000000002
2490.0,0.0016554,0.00034385999999999998,0.0015673099999999999,-0.00040701399999999998
2491.0,0.00197759,0.00064550800000000004,0.0017916500000000001,-0.00053309199999999998
2492.0,0.0012184100000000001,-0.00045445799999999998,0.0011253999999999999,-0.000107048
2493.0,0.0012769000000000001,-0.00030871400000000003,0.00122798,-0.00016503000000000001
2494.0,0.00141106,-0.00011631799999999999,0.00138397,-0.000249387
2495.0,0.00161775,8.7973999999999995e-05,0.00157803,-0.00034524499999999999
2496.0,0.0018876800000000001,0.00034190300000000001,0.0017955099999999999,-0.00047175400000000001
2497.0,0.0021920099999999999,0.00058017099999999999,0.0020290600000000001,-0.00059262699999999998
2498.0,0.0014953900000000001,-0.0010869899999999999,0.0010028700000000001,-0.000221141
2499.0,0.0014492800000000001,-0.00103028,0.0010058300000000001,-0.00016511799999999999
2500.0,0.0014328399999999999,-0.000959854,0.0010574200000000001,-0.00011647800000000001
2501.0,0.00144641,-0.00087411400000000005,0.0011495500000000001,-8.0970599999999993e-05
2502.0,0.00150136,-0.00078836800000000001,0.00127651,-5.5309400000000003e-05
2503.0,0.0015911499999999999,-0.00071006499999999996,0.0014233099999999999,-4.2107600000000003e-05
2504.0,0.0017174899999999999,-0.00056084600000000004,0.0016213600000000001,-8.00185e-05
2505.0,0.0018384300000000001,-0.000415778,0.0017845000000000001,-0.00014995899999999999
2506.0,0.0020111600000000001,-0.000225307,0.0019830899999999999,-0.00024771599999999998
2507.0,0.0022315099999999999,-8.9413399999999997e-06,0.0022014000000000001,-0.00036522699999999998
2508.0,0.0024899599999999998,0.00024809099999999998,0.0024241000000000002,-0.00051192100000000003
2509.0,0.0027757900000000002,0.00050510799999999999,0.00264744,-0.00066401399999999999
2510.0,0.0022629999999999998,0.00054086599999999998,0.0020889200000000002,-0.00068196299999999995
2511.0,0.0021408899999999999,0.00053777800000000004,0.0019341,-0.00074395500000000003
2512.0,0.0020164200000000001,0.00048286599999999998,0.0018027799999999999,-0.000763413
2513.0,0.00193552,0.00045701900000000002,0.0016971200000000001,-0.00081066199999999997
2514.0,0.00187437,0.00039552100000000002,0.0016327399999999999,-0.00083125699999999996
2515.0,0.0018573299999999999,0.00036071299999999997,0.0016086799999999999,-0.00085539999999999998
2516.0,0.00194326,0.00032531500000000001,0.0018411600000000001,-0.00052968199999999996
2517.0,0.00180109,0.00029978399999999999,0.0016931400000000001,-0.00053601799999999998
2518.0,0.0016927400000000001,0.00029028300000000001,0.00157186,-0.00055710000000000004
2519.0,0.00160009,0.00026057000000000001,0.00147893,-0.00055239199999999997
2520.0,0.0015461299999999999,0.00024448900000000002,0.0014196199999999999,-0.00056164500000000005
2521.0,0.0015517300000000001,0.00022087800000000001,0.00142589,-0.00057087200000000005
2522.0,0.0016605599999999999,9.79334e-05,0.0016146400000000001,-0.00037522199999999998
2523.0,0.0015242700000000001,0.00010508199999999999,0.00147354,-0.00037556800000000001
2524.0,0.0014140800000000001,9.4849600000000001e-05,0.0013638999999999999,-0.00036111699999999999
2525.0,0.0013343300000000001,9.9129700000000001e-05,0.0012844899999999999,-0.000347401
2526.0,0.0012898899999999999,9.6423500000000003e-05,0.00124347,-0.000329115
2527.0,0.0012881800000000001,0.00011387099999999999,0.00124671,-0.00030354699999999999
2528.0,0.0014337200000000001,-9.1833499999999994e-05,0.0014080200000000001,-0.00025418100000000002
2529.0,0.00130383,-8.4975999999999994e-05,0.0012802899999999999,-0.000231554
2530.0,0.00119904,-6.8397899999999998e-05,0.00117873,-0.000208817
2531.0,0.00112919,-5.72304e-05,0.0011146800000000001,-0.000171099
2532.0,0.00109038,-2.8376899999999999e-05,0.00108084,-0.000141132
2533.0,0.00112108,3.8896900000000004e-06,0.0011144499999999999,-0.00012163999999999999
2534.0,0.0012833199999999999,-0.00026874499999999998,0.0012457099999999999,-0.00015137500000000001
2535.0,0.00115806,-0.000245734,0.0011248499999999999,-0.000124175
2536.0,0.00106291,-0.000226271,0.00103539,-8.0991100000000005e-05
2537.0,0.00099499700000000007,-0.00018991599999999999,0.00097581700000000003,-4.1641199999999997e-05
2538.0,0.00097344399999999996,-0.000149557,0.000961885,2.0363100000000002e-06
2539.0,0.00098232799999999998,-8.7836699999999999e-05,0.00097699799999999997,5.2218700000000002e-05
2540.0,0.00122204,-0.00041276300000000002,0.0011473200000000001,-8.1709699999999995e-05
2541.0,0.0011113099999999999,-0.00039414700000000002,0.0010382799999999999,-4.0395600000000003e-05
2542.0,0.00101593,-0.00035818299999999998,0.00095069600000000001,1.1540300000000001e-06
2543.0,0.00095447700000000002,-0.00031639999999999999,0.00089877000000000002,5.5940999999999999e-05
2544.0,0.00091844300000000002,-0.00025268600000000001,0.00087696499999999995,0.00010304799999999999
2545.0,0.00094937799999999996,-0.000179488,0.00092231599999999996,0.000135783
2546.0,0.0015767400000000001,-0.00064966000000000004,0.0014366699999999999,-3.4640799999999999e-06
2547.0,0.0014804200000000001,-0.00063406499999999995,0.00133679,5.1107899999999999e-05
2548.0,0.00138715,-0.00058963600000000004,0.00125085,0.000109017
2549.0,0.0013116099999999999,-0.00052291499999999999,0.0011904299999999999,0.00017247900000000001
2550.0,0.0012548800000000001,-0.000432359,0.0011552999999999999,0.00023038400000000001
2551.0,0.0012485300000000001,-0.00032041699999999998,0.0011763100000000001,0.00026916599999999999
2552.0,0.00069588699999999996,-0.00024629300000000002,0.00062385999999999995,0.000185463
2553.0,0.00042746199999999998,-0.000265634,0.00028425899999999998,0.000177085
2554.0,0.00030877299999999998,-0.00028661300000000002,1.1240799999999999e-05,0.000114313
2555.0,0.00040394999999999998,-0.00032124600000000002,-0.00023788300000000001,5.82101e-05
2556.0,0.00054268800000000005,-0.00034661099999999998,-0.00041564899999999998,-4.0076900000000002e-05
2557.0,0.00063600699999999996,-0.00038315099999999998,-0.00049038800000000002,-0.000131225
2558.0,0.00069194700000000005,-0.00034120899999999998,0.00058284500000000002,0.000150526
2559.0,0.00049167000000000004,-0.00036904100000000002,0.00030072999999999998,0.00012292
2560.0,0.000423659,-0.00041465799999999999,1.83489e-05,8.4908300000000002e-05
2561.0,0.00048974100000000003,-0.00045439699999999999,-0.000182094,1.45285e-05
2562.0,0.00061240100000000005,-0.00050663699999999999,-0.00033906399999999998,-5.8215199999999998e-05
2563.0,0.00071212000000000001,-0.000546066,-0.00042825900000000001,-0.00015975399999999999
2564.0,0.00075300900000000001,-0.00041930500000000002,0.00061760899999999997,9.8824200000000002e-05
2565.0,0.00057636500000000002,-0.00046107899999999998,0.00033653900000000001,7.9650700000000006e-05
2566.0,0.00052749100000000005,-0.00051426599999999999,0.000110818,3.8690699999999999e-05
2567.0,0.00058319199999999996,-0.00057638800000000005,-8.76424e-05,-1.44372e-05
2568.0,0.00066637700000000001,-0.00062904200000000001,-0.00019912900000000001,-9.3338599999999994e-05
2569.0,0.000754881,-0.000689754,-0.00025268300000000002,-0.00017388399999999999
2570.0,0.00083423999999999998,-0.00047693600000000002,0.00068291800000000002,4.5940799999999999e-05
2571.0,0.00069174099999999995,-0.00052966600000000003,0.00044391500000000002,2.9969300000000001e-05
2572.0,0.00063655199999999997,-0.00059431800000000004,0.00022799499999999999,-1.3967900000000001e-06
2573.0,0.00067127300000000001,-0.00066339299999999997,8.71387e-05,-5.4073500000000003e-05
2574.0,0.00074116299999999998,-0.00073205099999999995,-1.75317e-05,-0.000114528
2575.0,0.00081818500000000003,-0.00079305100000000002,-4.73165e-05,-0.00019559699999999999
2576.0,0.00095263200000000002,-0.00052026999999999998,0.00079801399999999999,-1.2121400000000001e-06
2577.0,0.00082098000000000002,-0.00057426600000000003,0.00058651500000000002,-1.50097e-05
2578.0,0.00077202599999999998,-0.00064720299999999995,0.00041867100000000002,-4.3208599999999998e-05
2579.0,0.00078096999999999997,-0.00072080500000000004,0.00028853100000000002,-8.4285999999999999e-05
2580.0,0.00083862499999999996,-0.00079332899999999995,0.000231895,-0.000141934
2581.0,0.00091489100000000003,-0.00086438900000000002,0.00021814299999999999,-0.00020560000000000001
2582.0,0.0010975399999999999,-0.000543215,0.00095273099999999996,-4.2621199999999998e-05
2583.0,0.00098814100000000011,-0.00060534,0.00077924899999999998,-5.2515800000000003e-05
2584.0,0.00092773900000000002,-0.00067529899999999997,0.00063164000000000004,-7.5514999999999998e-05
2585.0,0.00093584099999999997,-0.00075697099999999995,0.00053891699999999998,-0.000111187
2586.0,0.00097468299999999995,-0.00082928699999999995,0.00048736599999999998,-0.00015736600000000001
2587.0,0.00105097,-0.00089904799999999995,0.00049966099999999999,-0.000215854
